aCO,U,flux_C2H4,flux_CH4,flux_H2
6.660846290809161038e-04,-1.159999999999999920e+00,6.183707732714420437e-09,3.054815739227596374e-10,2.602997097383042969e-06
1.000000000000000021e-03,-1.159999999999999920e+00,9.001852306207303317e-09,4.447008380057001586e-10,2.523980666358137660e-06
1.501310728908174328e-03,-1.159999999999999920e+00,1.292551391966664916e-08,6.385337901807751477e-10,2.413967241155926225e-06
2.253933904734791056e-03,-1.159999999999999920e+00,1.821336584946784231e-08,8.997591585209272224e-10,2.265704021727412672e-06
3.383855153428236544e-03,-1.159999999999999920e+00,2.503543288859685488e-08,1.236776344099474003e-09,2.074423774888799766e-06
5.080218046913023006e-03,-1.159999999999999920e+00,3.335794591252708884e-08,1.647917117149377436e-09,1.841073334852930922e-06
7.626985859023451518e-03,-1.159999999999999920e+00,4.284493155717028414e-08,2.116584045111716813e-09,1.575072877007325712e-06
1.145047569938283452e-02,-1.159999999999999920e+00,5.285805395592615590e-08,2.611242674281836204e-09,1.294320355363416180e-06
1.719072201858574608e-02,-1.159999999999999920e+00,6.260340368926546490e-08,3.092673056125163220e-09,1.021075766614879033e-06
2.580861540418076527e-02,-1.159999999999999920e+00,7.136770735791112831e-08,3.525638745119594942e-09,7.753381977092030884e-07
3.874675120456136379e-02,-1.159999999999999920e+00,7.870714978474344379e-08,3.888214811320580903e-09,5.695515422849675027e-07
5.817091329374357578e-02,-1.159999999999999920e+00,8.449506382644890195e-08,4.174143766506452173e-09,4.072673518441411695e-07
8.733261623828436626e-02,-1.159999999999999920e+00,8.884697418014582877e-08,4.389132650503160460e-09,2.852464919053416032e-07
1.311133937421565809e-01,-1.159999999999999920e+00,9.200329692218959346e-08,4.545058266771651759e-09,1.967480661734329974e-07
1.968419447286615387e-01,-1.159999999999999920e+00,9.423312704211628298e-08,4.655214186821348338e-09,1.342270658224591705e-07
2.955209235202888030e-01,-1.159999999999999920e+00,9.577934119532278644e-08,4.731598769269237812e-09,9.087360371276103248e-08
4.436687330978615895e-01,-1.159999999999999920e+00,9.683771722712692414e-08,4.783883642677334981e-09,6.119837075911190204e-08
6.660846290809168124e-01,-1.159999999999999920e+00,9.755576027263926570e-08,4.819355713669137358e-09,4.106555028130451958e-08
1.000000000000000000e+00,-1.159999999999999920e+00,9.803997561215874297e-08,4.843276453527426889e-09,2.748889834647478986e-08
0.000000000000000000e+00,-1.280000000000000027e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.360316231248221330e-06
9.999999999999999547e-07,-1.280000000000000027e+00,5.113134550251325263e-11,7.723193691840870219e-12,6.359680263221899282e-06
1.501310728908174203e-06,-1.280000000000000027e+00,7.676018990052742926e-11,1.159433237279314805e-11,6.359361493484304236e-06
2.253933904734788681e-06,-1.280000000000000027e+00,1.152322253081915318e-10,1.740538581276462794e-11,6.358882981053497121e-06
3.383855153428233349e-06,-1.280000000000000027e+00,1.729798352164134236e-10,2.612794087519975679e-11,6.358164720402672993e-06
5.080218046913022430e-06,-1.280000000000000027e+00,2.596524509165242180e-10,3.921950715908604542e-11,6.357086692594070886e-06
7.626985859023451423e-06,-1.280000000000000027e+00,3.897198081588401504e-10,5.886568277006994461e-11,6.355468924087074034e-06
1.145047569938281224e-05,-1.280000000000000027e+00,5.848670763516765718e-10,8.834192940263337900e-11,6.353041696292165004e-06
1.719072201858574747e-05,-1.280000000000000027e+00,8.775640494818520643e-10,1.325526849437480633e-10,6.349401152228975540e-06
2.580861540418076793e-05,-1.280000000000000027e+00,1.316363841284601292e-09,1.988317110621885360e-10,6.343943391733905669e-06
3.874675120456128150e-05,-1.280000000000000027e+00,1.973724100625301133e-09,2.981234578040657991e-10,6.335767191741378785e-06
5.817091329374357686e-05,-1.280000000000000027e+00,2.957450740466307298e-09,4.467115949760562468e-10,6.323531669999642131e-06
8.733261623828436962e-05,-1.280000000000000027e+00,4.427216676434885926e-09,6.687141042704218868e-10,6.305250826179336921e-06
1.311133937421564226e-04,-1.280000000000000027e+00,6.617905036974696699e-09,9.996091816565363914e-10,6.278003200691542721e-06
1.968419447286613299e-04,-1.280000000000000027e+00,9.871487681399167531e-09,1.491050365305163273e-09,6.237535371955272407e-06
2.955209235202887964e-04,-1.280000000000000027e+00,1.467812420006712309e-08,2.217074381984396102e-09,6.177750769966358704e-06
4.436687330978615856e-04,-1.280000000000000027e+00,2.172382943047201529e-08,3.281301142599537852e-09,6.090116791134169981e-06
6.660846290809161038e-04,-1.280000000000000027e+00,3.193412603432067693e-08,4.823527296589407525e-09,5.963121850643222405e-06
1.000000000000000021e-03,-1.280000000000000027e+00,4.648768967005773053e-08,7.021787282918230632e-09,5.782105664771110300e-06
1.501310728908174328e-03,-1.280000000000000027e+00,6.675040419282760157e-08,1.008239262087352553e-08,5.530079467605176192e-06
2.253933904734791056e-03,-1.280000000000000027e+00,9.405811944653228030e-08,1.420711830750018302e-08,5.190428054121185651e-06
3.383855153428236544e-03,-1.280000000000000027e+00,1.292888835865605615e-07,1.952859015008303893e-08,4.752230324025170744e-06
5.080218046913023006e-03,-1.280000000000000027e+00,1.722683048846300750e-07,2.602046694671272785e-08,4.217655349187873601e-06
7.626985859023451518e-03,-1.280000000000000027e+00,2.212613376017244137e-07,3.342067669097259397e-08,3.608283504687958168e-06
1.145047569938283452e-02,-1.280000000000000027e+00,2.729714646808685934e-07,4.123129312081611877e-08,2.965116634420941265e-06
1.719072201858574608e-02,-1.280000000000000027e+00,3.232987505237234972e-07,4.883303668396769262e-08,2.339149444763084332e-06
2.580861540418076527e-02,-1.280000000000000027e+00,3.685596829699489926e-07,5.566952699182284283e-08,1.776197197087278837e-06
3.874675120456136379e-02,-1.280000000000000027e+00,4.064622957082810245e-07,6.139457132085550511e-08,1.304767204804629444e-06
5.817091329374357578e-02,-1.280000000000000027e+00,4.363524497182769541e-07,6.590936448010859275e-08,9.329956023681348499e-07
8.733261623828436626e-02,-1.280000000000000027e+00,4.588267417987044996e-07,6.930402012858189383e-08,6.534619613714319373e-07
1.311133937421565809e-01,-1.280000000000000027e+00,4.751267373040181397e-07,7.176607195269211669e-08,4.507237805413311888e-07
1.968419447286615387e-01,-1.280000000000000027e+00,4.866421062643175692e-07,7.350542428225351827e-08,3.074964432186026154e-07
2.955209235202888030e-01,-1.280000000000000027e+00,4.946271210449033489e-07,7.471153014895020443e-08,2.081793992360017945e-07
4.436687330978615895e-01,-1.280000000000000027e+00,5.000928246409077974e-07,7.553710372068531715e-08,1.401973679741386874e-07
6.660846290809168124e-01,-1.280000000000000027e+00,5.038009683800027656e-07,7.609720461481904534e-08,9.407574078254910782e-08
1.000000000000000000e+00,-1.280000000000000027e+00,5.063015706639950614e-07,7.647491100207974015e-08,6.297342803216067131e-08
0.000000000000000000e+00,-1.399999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.457064271554036968e-05
9.999999999999999547e-07,-1.399999999999999911e+00,2.475840157429505530e-10,1.155827347218664630e-10,1.456918579696067250e-05
1.501310728908174203e-06,-1.399999999999999911e+00,3.716819081913252140e-10,1.735169019957955902e-10,1.456845553768013644e-05
2.253933904734788681e-06,-1.399999999999999911e+00,5.579680488438584325e-10,2.604831849878150981e-10,1.456735932903095294e-05
3.383855153428233349e-06,-1.399999999999999911e+00,8.375887985057702188e-10,3.910220278687590249e-10,1.456571388893972347e-05
5.080218046913022430e-06,-1.399999999999999911e+00,1.257267843504188368e-09,5.869460320126314713e-10,1.456324426990421120e-05
7.626985859023451423e-06,-1.399999999999999911e+00,1.887069353842747336e-09,8.809641279646319598e-10,1.455953817636186740e-05
1.145047569938281224e-05,-1.399999999999999911e+00,2.831995481751393511e-09,1.322095780369923683e-09,1.455397771872061219e-05
1.719072201858574747e-05,-1.399999999999999911e+00,4.249268805799034242e-09,1.983739166960160715e-09,1.454563771408777329e-05
2.580861540418076793e-05,-1.399999999999999911e+00,6.373989238910956913e-09,2.975648912997539235e-09,1.453313470711306666e-05
3.874675120456128150e-05,-1.399999999999999911e+00,9.557005277270402754e-09,4.461615998849774455e-09,1.451440411502762524e-05
5.817091329374357686e-05,-1.399999999999999911e+00,1.432032588797453743e-08,6.685336382777229127e-09,1.448637415405474370e-05
8.733261623828436962e-05,-1.399999999999999911e+00,2.143710619275667990e-08,1.000775171549993162e-08,1.444449516028150860e-05
1.311133937421564226e-04,-1.399999999999999911e+00,3.204467804938085947e-08,1.495981681658567682e-08,1.438207445643678821e-05
1.968419447286613299e-04,-1.399999999999999911e+00,4.779890960228580546e-08,2.231456126913871762e-08,1.428936801660712268e-05
2.955209235202887964e-04,-1.399999999999999911e+00,7.107321149700191710e-08,3.317999397351232821e-08,1.415240940577712175e-05
4.436687330978615856e-04,-1.399999999999999911e+00,1.051893486246472344e-07,4.910685587340750947e-08,1.395165155838712583e-05
6.660846290809161038e-04,-1.399999999999999911e+00,1.546288110573972062e-07,7.218729688656659362e-08,1.366072295715124502e-05
1.000000000000000021e-03,-1.399999999999999911e+00,2.250988855859316822e-07,1.050857209048533044e-07,1.324603883230942637e-05
1.501310728908174328e-03,-1.399999999999999911e+00,3.232133432067228350e-07,1.508897171504655321e-07,1.266868016957191484e-05
2.253933904734791056e-03,-1.399999999999999911e+00,4.554405266854933975e-07,2.126189827703987205e-07,1.189058373320459011e-05
3.383855153428236544e-03,-1.399999999999999911e+00,6.260320489260376351e-07,2.922583512561229621e-07,1.088673072781136827e-05
5.080218046913023006e-03,-1.399999999999999911e+00,8.341434845768188118e-07,3.894136089864310681e-07,9.662090209977457970e-06
7.626985859023451518e-03,-1.399999999999999911e+00,1.071373537185697637e-06,5.001626739309727560e-07,8.266099962905169911e-06
1.145047569938283452e-02,-1.399999999999999911e+00,1.321760081701791282e-06,6.170537481220274046e-07,6.792689784478574876e-06
1.719072201858574608e-02,-1.399999999999999911e+00,1.565450745578510832e-06,7.308189008219563339e-07,5.358681797997441407e-06
2.580861540418076527e-02,-1.399999999999999911e+00,1.784609527753646898e-06,8.331315291477505352e-07,4.069032703744028731e-06
3.874675120456136379e-02,-1.399999999999999911e+00,1.968138456567868680e-06,9.188106285406058696e-07,2.989048983879147366e-06
5.817091329374357578e-02,-1.399999999999999911e+00,2.112870113602129920e-06,9.863775135458767887e-07,2.137369445639742047e-06
8.733261623828436626e-02,-1.399999999999999911e+00,2.221693291039906009e-06,1.037180795056747924e-06,1.496994869619996294e-06
1.311133937421565809e-01,-1.399999999999999911e+00,2.300619795009945822e-06,1.074027039526604137e-06,1.032548529175335637e-06
1.968419447286615387e-01,-1.399999999999999911e+00,2.356378571978029437e-06,1.100057604978813707e-06,7.044336551106384766e-07
2.955209235202888030e-01,-1.399999999999999911e+00,2.395042956920668394e-06,1.118107782146345058e-06,4.769114516823841116e-07
4.436687330978615895e-01,-1.399999999999999911e+00,2.421508539468128194e-06,1.130463040209606339e-06,3.211736152951345958e-07
6.660846290809168124e-01,-1.399999999999999911e+00,2.439463809544721390e-06,1.138845322934501680e-06,2.155150714689075670e-07
1.000000000000000000e+00,-1.399999999999999911e+00,2.451572021232918815e-06,1.144497950448897379e-06,1.442637892627760664e-07
0.000000000000000000e+00,-1.520000000000000018e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.337941407706784082e-05
9.999999999999999547e-07,-1.520000000000000018e+00,9.241675845608980167e-10,9.727052098693739203e-10,3.337607646942089719e-05
1.501310728908174203e-06,-1.520000000000000018e+00,1.387393165456978038e-09,1.460259570582501858e-09,3.337440354205698466e-05
2.253933904734788681e-06,-1.520000000000000018e+00,2.082751515338356468e-09,2.192138399655648172e-09,3.337189227312188720e-05
3.383855153428233349e-06,-1.520000000000000018e+00,3.126504004903161410e-09,3.290709158222341387e-09,3.336812278764232084e-05
5.080218046913022430e-06,-1.520000000000000018e+00,4.693058162865016563e-09,4.939539323279507212e-09,3.336246521727921323e-05
7.626985859023451423e-06,-1.520000000000000018e+00,7.043945552811408322e-09,7.413896193417473948e-09,3.335397504746491872e-05
1.145047569938281224e-05,-1.520000000000000018e+00,1.057111225861551890e-08,1.112631100662863306e-08,3.334123677491998111e-05
1.719072201858574747e-05,-1.520000000000000018e+00,1.586142981250629943e-08,1.669447800631620621e-08,3.332213092808268334e-05
2.580861540418076793e-05,-1.520000000000000018e+00,2.379246584746139527e-08,2.504205500397513009e-08,3.329348819384198851e-05
3.874675120456128150e-05,-1.520000000000000018e+00,3.567384774912402495e-08,3.754745150269140283e-08,3.325057888631627155e-05
5.817091329374357686e-05,-1.520000000000000018e+00,5.345410101011800627e-08,5.626153027876442606e-08,3.318636595541515189e-05
8.733261623828436962e-05,-1.520000000000000018e+00,8.001921525783918076e-08,8.422185420833717445e-08,3.309042672324958044e-05
1.311133937421564226e-04,-1.520000000000000018e+00,1.196145584037815729e-07,1.258967595047865105e-07,3.294742915194871357e-05
1.968419447286613299e-04,-1.520000000000000018e+00,1.784210612273621880e-07,1.877918017312168464e-07,3.273505096773966972e-05
2.955209235202887964e-04,-1.520000000000000018e+00,2.652980564963645519e-07,2.792316091078269299e-07,3.242129691642121187e-05
4.436687330978615856e-04,-1.520000000000000018e+00,3.926448399677934069e-07,4.132666930170088075e-07,3.196138725779618486e-05
6.660846290809161038e-04,-1.520000000000000018e+00,5.771896638384140072e-07,6.075038796833953894e-07,3.129490833595993085e-05
1.000000000000000021e-03,-1.520000000000000018e+00,8.402363648357764129e-07,8.843658912639642599e-07,3.034492188824349442e-05
1.501310728908174328e-03,-1.520000000000000018e+00,1.206472452564678568e-06,1.269836834551096891e-06,2.902226960373287398e-05
2.253933904734791056e-03,-1.520000000000000018e+00,1.700042590370901057e-06,1.789329459590707852e-06,2.723975364692508391e-05
3.383855153428236544e-03,-1.520000000000000018e+00,2.336816957983117905e-06,2.459547453854132350e-06,2.494005926873603556e-05
5.080218046913023006e-03,-1.520000000000000018e+00,3.113643532298667286e-06,3.277173248812883212e-06,2.213456992016155539e-05
7.626985859023451518e-03,-1.520000000000000018e+00,3.999162429982369914e-06,4.209199928393922865e-06,1.893654101956435658e-05
1.145047569938283452e-02,-1.520000000000000018e+00,4.933791135141728747e-06,5.192915680806864945e-06,1.556115330254807393e-05
1.719072201858574608e-02,-1.520000000000000018e+00,5.843425836474025840e-06,6.150324735014600151e-06,1.227603079250779770e-05
2.580861540418076527e-02,-1.520000000000000018e+00,6.661489319895289672e-06,7.011353216884404067e-06,9.321615399061395800e-06
3.874675120456136379e-02,-1.520000000000000018e+00,7.346555705664654722e-06,7.732399544062017961e-06,6.847515629707124202e-06
5.817091329374357578e-02,-1.520000000000000018e+00,7.886801833789981684e-06,8.301019599794600193e-06,4.896430525030275410e-06
8.733261623828436626e-02,-1.520000000000000018e+00,8.293010824039689775e-06,8.728562837311854168e-06,3.429417123171761876e-06
1.311133937421565809e-01,-1.520000000000000018e+00,8.587623205670812777e-06,9.038648370814717024e-06,2.365432025400718859e-06
1.968419447286615387e-01,-1.520000000000000018e+00,8.795756408753535732e-06,9.257712807143715105e-06,1.613764274013932539e-06
2.955209235202888030e-01,-1.520000000000000018e+00,8.940080633941280305e-06,9.409616994323339689e-06,1.092541017893695514e-06
4.436687330978615895e-01,-1.520000000000000018e+00,9.038869860796200291e-06,9.513594668119814072e-06,7.357662462021054141e-07
6.660846290809168124e-01,-1.520000000000000018e+00,9.105892275498658845e-06,9.584137124973116185e-06,4.937165059120555150e-07
1.000000000000000000e+00,-1.520000000000000018e+00,9.151089121973802614e-06,9.631707726637234648e-06,3.304892482878006877e-07
